Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Daily Report End to End Suit,Chrome 80.0.3987.132,,,2020-03-17 15:26:38,2020-03-17 15:30:43,4m - 5.093s,FAILED
,,,,,,,
Test Cases/CrossLocationReportBuilder_TestCases/TC8_Create Daily Report with valid details and compare report values with calender for specific time period,Chrome 80.0.3987.132,,,2020-03-17 15:26:56,2020-03-17 15:30:43,3m - 47.055s,FAILED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC1_Verify successfull login""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:26:57,2020-03-17 15:26:59,2.462s,PASSED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC3_Verify Report Builder Link functionality""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:26:59,2020-03-17 15:27:35,36.078s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/ReportSetup_Page/Verify Add Report button and Click""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:27:35,2020-03-17 15:27:39,3.636s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Give Report Name""), [""ReportName"":ReportName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:27:39,2020-03-17 15:27:40,1.237s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Select Report Category""), [""ReportCategory"":CategoryName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:27:40,2020-03-17 15:27:43,3.498s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Data Grain with Present Data By/Select Data Grain And Present Data By options for Report""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:27:43,2020-03-17 15:28:12,28.906s,PASSED
ColumnListNew = [],Chrome 80.0.3987.132,,,2020-03-17 15:28:12,2020-03-17 15:28:12,0.001s,PASSED
ColumnListNew = reportbuildercustom.RB_Keywords.verifyTotalAddedColumns(),Chrome 80.0.3987.132,,,2020-03-17 15:28:12,2020-03-17 15:28:13,1.145s,PASSED
TotalNoOfColumnsAdded = ColumnListNew.size(),Chrome 80.0.3987.132,,,2020-03-17 15:28:13,2020-03-17 15:28:13,0.001s,PASSED
println(TotalNoOfColumnsAdded),Chrome 80.0.3987.132,,,2020-03-17 15:28:13,2020-03-17 15:28:13,0.003s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Select Grouping By Hierarchy""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:28:13,2020-03-17 15:28:16,2.951s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Click on Create Report Button""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:28:16,2020-03-17 15:28:17,0.743s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Search and validate created report from list of reports""), [""SearchCategory"":CategoryName, ""SearchReport"":ReportName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:28:17,2020-03-17 15:28:26,9.310s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/Restaurant_Intranet_Dashboard_Page/Click on Dashboard Link""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:28:26,2020-03-17 15:28:30,3.780s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/Restaurant_Intranet_Dashboard_Page/Select PC name""), [""PCName"":PCName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:28:30,2020-03-17 15:28:39,8.421s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/Restaurant_Intranet_Dashboard_Page/Click on dashbord calender button and select operational calender""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:28:39,2020-03-17 15:29:02,22.990s,PASSED
valuesFromCalendarDashboard = [:],Chrome 80.0.3987.132,,,2020-03-17 15:29:02,2020-03-17 15:29:02,0.001s,PASSED
"valuesFromCalendarDashboard = callTestCase(findTestCase(""ReportBuilder_Pages/Restaurant_Intranet_Dashboard_Page/Get all available variable values from calender view for one month""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 15:29:02,2020-03-17 15:29:36,34.066s,PASSED
