Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Daily Report End to End Suit,Chrome 80.0.3987.149,,,2020-03-18 16:45:42,2020-03-18 16:48:28,2m - 45.830s,FAILED
,,,,,,,
Test Cases/CrossLocationReportBuilder_TestCases/TC8_Create Daily Report with valid details and compare report values with calender for specific time period,Chrome 80.0.3987.149,,,2020-03-18 16:46:00,2020-03-18 16:48:28,2m - 27.243s,FAILED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC1_Verify successfull login""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:46:01,2020-03-18 16:46:02,1.580s,PASSED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC3_Verify Report Builder Link functionality""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:46:02,2020-03-18 16:46:33,30.255s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/ReportSetup_Page/Verify Add Report button and Click""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:46:33,2020-03-18 16:46:34,1.803s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Give Report Name""), [""ReportName"":ReportName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:46:34,2020-03-18 16:46:35,0.906s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Select Report Category""), [""ReportCategory"":CategoryName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:46:35,2020-03-18 16:46:38,2.550s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Data Grain with Present Data By/Select Data Grain And Present Data By options for Report""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:46:38,2020-03-18 16:46:55,17.372s,PASSED
ColumnListNew = [],Chrome 80.0.3987.149,,,2020-03-18 16:46:55,2020-03-18 16:46:55,0.001s,PASSED
ColumnListNew = reportbuildercustom.RB_Keywords.verifyTotalAddedColumns(),Chrome 80.0.3987.149,,,2020-03-18 16:46:55,2020-03-18 16:46:56,0.862s,PASSED
TotalNoOfColumnsAdded = ColumnListNew.size(),Chrome 80.0.3987.149,,,2020-03-18 16:46:56,2020-03-18 16:46:56,0.000s,PASSED
println(TotalNoOfColumnsAdded),Chrome 80.0.3987.149,,,2020-03-18 16:46:56,2020-03-18 16:46:56,0.004s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Select Grouping By Hierarchy""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:46:56,2020-03-18 16:46:58,1.544s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Click on Create Report Button""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:46:58,2020-03-18 16:46:58,0.535s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Search and validate created report from list of reports""), [""SearchCategory"":CategoryName, ""SearchReport"":ReportName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:46:58,2020-03-18 16:47:07,9.212s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/Restaurant_Intranet_Dashboard_Page/Click on Dashboard Link""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-18 16:47:07,2020-03-18 16:47:10,3.001s,PASSED
