Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Weekly Report End to End Suit,Chrome 80.0.3987.149,,,2020-03-30 18:31:45,2020-03-30 18:32:25,40.652s,FAILED
,,,,,,,
Test Cases/CrossLocationReportBuilder_TestCases/TC79_Create Weekly Report with valid details and compare report values with calender for specific time period,Chrome 80.0.3987.149,,,2020-03-30 18:32:02,2020-03-30 18:32:25,23.101s,FAILED
Start listener action : afterTestcase,Chrome 80.0.3987.149,,,2020-03-30 18:32:25,2020-03-30 18:32:25,0.000s,PASSED
