Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Weekly Report End to End Suit,Chrome 80.0.3987.149,,,2020-03-29 00:48:39,2020-03-29 00:51:36,2m - 56.890s,PASSED
,,,,,,,
Test Cases/CrossLocationReportBuilder_TestCases/TC79_Create Weekly Report with valid details and compare report values with calender for specific time period,Chrome 80.0.3987.149,,,2020-03-29 00:48:55,2020-03-29 00:51:36,2m - 40.158s,PASSED
Start listener action : afterTestcase,Chrome 80.0.3987.149,,,2020-03-29 00:51:36,2020-03-29 00:51:36,0.000s,PASSED
