Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Daily Data Grain and Present By Formula Check,Chrome 80.0.3987.149,,,2020-03-19 18:33:05,2020-03-19 18:35:37,2m - 31.567s,FAILED
,,,,,,,
Test Cases/CrossLocationReportBuilder_TestCases/TC78_ONE STORE ONE WEEK-MONTH-YEAR-RANGE-To check that tabel values are coming or displayed as per actual formulas,Chrome 80.0.3987.149,,,2020-03-19 18:33:25,2020-03-19 18:34:15,50.002s,FAILED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC1_Verify successfull login""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:25,2020-03-19 18:33:27,1.924s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/Data Entry Form TestCases/Click on Data Entry Form""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:27,2020-03-19 18:33:27,0.002s,NOT_RUN
"callTestCase(findTestCase(""ReportBuilder_Pages/Data Entry Form TestCases/Sales Budget/Select Location from dropdown For Sales budget""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:27,2020-03-19 18:33:27,0.002s,NOT_RUN
"callTestCase(findTestCase(""ReportBuilder_Pages/Data Entry Form TestCases/Sales Budget/Select Month From Dropdown For Sales budget""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:27,2020-03-19 18:33:27,0.001s,NOT_RUN
"callTestCase(findTestCase(""ReportBuilder_Pages/Data Entry Form TestCases/Sales Budget/Select Year from dropdown For Sales budget""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:27,2020-03-19 18:33:27,0.003s,NOT_RUN
"callTestCase(findTestCase(""ReportBuilder_Pages/Data Entry Form TestCases/Hit Refresh""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:27,2020-03-19 18:33:27,0.002s,NOT_RUN
"SalesBudgets = callTestCase(findTestCase(""ReportBuilder_Pages/Data Entry Form TestCases/Sales Budget/Get And Set Sales Budget""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:27,2020-03-19 18:33:27,0.002s,NOT_RUN
"callTestCase(findTestCase(""ReportBuilder_Pages/Data Entry Form TestCases/Left nav Bar/Click On Link Budget""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:27,2020-03-19 18:33:27,0.001s,NOT_RUN
"callTestCase(findTestCase(""ReportBuilder_Pages/Data Entry Form TestCases/Left nav Bar/Click on Labor Budget link""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:27,2020-03-19 18:33:27,0.002s,NOT_RUN
"callTestCase(findTestCase(""ReportBuilder_Pages/Data Entry Form TestCases/Labor Budget/Select Location from dropdown For Labor Budget""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.149,,,2020-03-19 18:33:27,2020-03-19 18:33:27,0.002s,NOT_RUN
