Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Daily Report End to End Suit,Chrome 80.0.3987.132,,,2020-03-17 20:20:08,2020-03-17 20:24:24,4m - 16.107s,FAILED
,,,,,,,
Test Cases/CrossLocationReportBuilder_TestCases/TC8_Create Daily Report with valid details and compare report values with calender for specific time period,Chrome 80.0.3987.132,,,2020-03-17 20:20:26,2020-03-17 20:24:24,3m - 57.705s,FAILED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC1_Verify successfull login""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:20:27,2020-03-17 20:20:29,2.447s,PASSED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC3_Verify Report Builder Link functionality""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:20:29,2020-03-17 20:20:43,14.257s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/ReportSetup_Page/Verify Add Report button and Click""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:20:43,2020-03-17 20:20:47,3.643s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Give Report Name""), [""ReportName"":ReportName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:20:47,2020-03-17 20:20:48,1.273s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Select Report Category""), [""ReportCategory"":CategoryName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:20:48,2020-03-17 20:20:52,3.428s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Data Grain with Present Data By/Select Data Grain And Present Data By options for Report""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:20:52,2020-03-17 20:21:21,29.385s,PASSED
ColumnListNew = [],Chrome 80.0.3987.132,,,2020-03-17 20:21:21,2020-03-17 20:21:21,0.001s,PASSED
ColumnListNew = reportbuildercustom.RB_Keywords.verifyTotalAddedColumns(),Chrome 80.0.3987.132,,,2020-03-17 20:21:21,2020-03-17 20:21:22,1.287s,PASSED
TotalNoOfColumnsAdded = ColumnListNew.size(),Chrome 80.0.3987.132,,,2020-03-17 20:21:22,2020-03-17 20:21:22,0.000s,PASSED
println(TotalNoOfColumnsAdded),Chrome 80.0.3987.132,,,2020-03-17 20:21:22,2020-03-17 20:21:22,0.003s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Select Grouping By Hierarchy""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:21:22,2020-03-17 20:21:25,2.891s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Click on Create Report Button""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:21:25,2020-03-17 20:21:26,0.749s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Search and validate created report from list of reports""), [""SearchCategory"":CategoryName, ""SearchReport"":ReportName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:21:26,2020-03-17 20:21:35,9.221s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/Restaurant_Intranet_Dashboard_Page/Click on Dashboard Link""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:21:35,2020-03-17 20:21:39,3.758s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/Restaurant_Intranet_Dashboard_Page/Select PC name""), [""PCName"":PCName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:21:39,2020-03-17 20:21:48,9.173s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/Restaurant_Intranet_Dashboard_Page/Click on dashbord calender button and select operational calender""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:21:48,2020-03-17 20:22:13,25.131s,PASSED
valuesFromCalendarDashboard = [:],Chrome 80.0.3987.132,,,2020-03-17 20:22:13,2020-03-17 20:22:13,0.000s,PASSED
"valuesFromCalendarDashboard = callTestCase(findTestCase(""ReportBuilder_Pages/Restaurant_Intranet_Dashboard_Page/Get all available variable values from calender view for one month""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:22:13,2020-03-17 20:22:51,37.617s,PASSED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC77_Verify Created Report is displaying same as per the set configuration in report setup""), [""ReportName"":ReportName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:22:51,2020-03-17 20:23:12,21.199s,PASSED
