Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Daily Report End to End Suit,Chrome 80.0.3987.132,,,2020-03-17 20:14:40,2020-03-17 20:18:14,3m - 33.570s,FAILED
,,,,,,,
Test Cases/CrossLocationReportBuilder_TestCases/TC8_Create Daily Report with valid details and compare report values with calender for specific time period,Chrome 80.0.3987.132,,,2020-03-17 20:14:57,2020-03-17 20:18:14,3m - 16.218s,FAILED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC1_Verify successfull login""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:14:58,2020-03-17 20:15:00,2.593s,PASSED
"callTestCase(findTestCase(""CrossLocationReportBuilder_TestCases/TC3_Verify Report Builder Link functionality""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:15:00,2020-03-17 20:15:14,13.919s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/ReportSetup_Page/Verify Add Report button and Click""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:15:14,2020-03-17 20:15:18,3.599s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Give Report Name""), [""ReportName"":ReportName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:15:18,2020-03-17 20:15:19,1.312s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Select Report Category""), [""ReportCategory"":CategoryName], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:15:19,2020-03-17 20:15:22,3.413s,PASSED
"callTestCase(findTestCase(""ReportBuilder_Pages/CrossLocationReportBuilderSetup_Page/Data Grain with Present Data By/Select Data Grain And Present Data By options for Report""), [:], CONTINUE_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-17 20:15:22,2020-03-17 20:15:52,29.396s,PASSED
ColumnListNew = [],Chrome 80.0.3987.132,,,2020-03-17 20:15:52,2020-03-17 20:15:52,0.001s,PASSED
ColumnListNew = reportbuildercustom.RB_Keywords.verifyTotalAddedColumns(),Chrome 80.0.3987.132,,,2020-03-17 20:15:52,2020-03-17 20:15:53,1.119s,PASSED
TotalNoOfColumnsAdded = ColumnListNew.size(),Chrome 80.0.3987.132,,,2020-03-17 20:15:53,2020-03-17 20:15:53,0.000s,PASSED
